name,pc1,pc2,pc3
Jrue Holiday,1.000519436,-20.62108808,7.097247123
Anthony Davis,19.96489535,8.034986364,18.7462617
Quincy Pondexter,-15.09942789,4.528319901,-9.917821885
James Jones,-6.272024031,6.56628272,-17.73297022
Richard Jefferson,31.23292647,7.718041609,-7.664577288
Chris Andersen,-0.207708677,18.67082354,-5.674727166
Tristan Thompson,0.119824893,17.3301971,2.99074452
Mo Williams,14.37669558,-14.60987049,-1.951766411
Iman Shumpert,-17.2576288,-4.771560544,-5.154428086
Kevin Love,33.84670798,9.306042445,1.78829355
Mike Dunleavy,14.96831828,2.239999612,-9.319479431
Channing Frye,-0.550361809,4.839807037,-6.28235191
